,tweet_id,favorite_count,retweet_count
0,666051853826850816,1090,745
1,666049248165822465,94,38
2,666094000022159362,152,66
3,666373753744588802,169,77
4,666055525042405380,399,211
5,667090893657276420,310,115
6,667878741721415682,371,108
7,670046952931721218,602,159
8,671115716440031232,1272,719
9,672594978741354496,1243,569
10,700002074055016451,3197,1290
11,740365076218183684,2377,416
12,687818504314159109,2400,920
13,695767669421768709,1798,708
14,669567591774625800,219,48
15,672984142909456390,1183,507
16,676821958043033607,21770,14679
17,887473957103951883,62659,15811
18,746521445350707200,0,951
19,667550882905632768,0,27
20,798576900688019456,0,5773
21,737445876994609152,9891,4269
22,711306686208872448,3180,709
23,716802964044845056,4138,1123
24,736225175608430592,7817,2677
25,738537504001953792,4911,1474
26,747816857231626240,4705,1125
27,749317047558017024,5340,2172
28,751538714308972544,4912,1223
29,765222098633691136,11392,3307
30,765719909049503744,7090,2110
31,670840546554966016,545,179
32,840268004936019968,18685,5512
33,732732193018155009,2348,514
34,747963614829678593,5620,2076
35,766313316352462849,6644,1837
36,789137962068021249,9607,2754
37,800018252395122689,28072,12991
38,817777686764523521,10606,2633
39,835574547218894849,17370,3492
40,836753516572119041,18871,4490
41,842846295480000512,14818,3480
42,840728873075638272,0,15402
43,753375668877008896,7443,2254
44,822975315408461824,17040,3364
45,822872901745569793,129319,42165
46,788908386943430656,27158,12328
47,752701944171524096,0,2775
48,666407126856765440,98,31
49,666428276349472768,149,72
50,666644823164719104,218,73
51,672254177670729728,1337,688
52,675362609739206656,996,211
53,673887867907739649,880,238
54,674265582246694913,1531,783
55,676496375194980353,1450,503
56,676975532580409345,2643,1016
57,679844490799091713,2281,727
58,681320187870711809,2550,709
59,682059653698686977,4766,1603
60,715680795826982913,4131,1535
61,667937095915278337,1157,734
62,670061506722140161,704,306
63,666983947667116034,2355,892
64,671882082306625538,3257,1283
65,679503373272485890,3050,1402
66,686749460672679938,3362,1397
67,740359016048689152,3193,829
68,686377065986265092,2138,547
69,708845821941387268,2876,856
70,671182547775299584,1041,310
71,747103485104099331,9267,3821
72,770414278348247044,6212,2049
73,761371037149827077,0,17598
74,785533386513321988,8987,1962
75,808501579447930884,11187,2575
76,813142292504645637,8392,2353
77,821107785811234820,9443,2085
78,796125600683540480,4928,1784
79,752682090207055872,5851,1547
80,860184849394610176,15575,5374
81,747933425676525569,6433,2464
82,745074613265149952,7601,3361
83,707995814724026368,3015,1085
84,761599872357261312,4035,1161
85,741099773336379392,9664,5310
86,885311592912609280,0,16269
87,779124354206535695,0,17915
88,770787852854652928,4836,1178
89,782747134529531904,7377,1389
90,668614819948453888,576,294
91,810896069567610880,8907,1743
92,817415592588222464,5523,933
93,807106840509214720,116823,54621
94,749981277374128128,4971,2393
95,866686824827068416,17824,3122
96,856526610513747968,11211,1748
97,870726314365509632,112,3
98,834477809192075265,0,10301
99,762471784394268675,10979,6241
100,813112105746448384,10188,2692
101,801285448605831168,5991,808
102,818588835076603904,0,6004
103,666071193221509120,134,52
104,667073648344346624,372,109
105,672160042234327040,821,331
106,672222792075620352,737,193
107,675483430902214656,1741,914
108,680970795137544192,2330,627
109,677228873407442944,3386,1554
110,679527802031484928,2537,690
111,682032003584274432,6342,1905
112,672475084225949696,1356,649
113,674269164442398721,860,213
114,676897532954456065,2142,688
115,683481228088049664,2577,963
116,742528092657332225,4277,1887
117,681302363064414209,3787,1740
118,682750546109968385,1467,418
119,669926384437997569,354,89
120,684959798585110529,6577,3011
121,867421006826221569,14873,2243
122,873580283840344065,22254,3498
123,668291999406125056,227,29
124,761976711479193600,5280,1949
125,696518437233913856,3788,1652
126,878776093423087618,17734,3617
127,892177421306343426,30435,5519
128,782021823840026624,0,6089
129,696490539101908992,1176,138
130,679462823135686656,30282,17915
131,681654059175129088,2539,875
132,683142553609318400,2771,999
133,683849932751646720,2525,916
134,684188786104872960,3378,1121
135,680130881361686529,2215,899
136,680494726643068929,1661,467
137,684460069371654144,1909,538
138,684594889858887680,8591,3369
139,686007916130873345,2404,395
140,689275259254616065,1106,235
141,828381636999917570,12349,2167
142,828408677031882754,7533,1246
143,833722901757046785,20398,3132
144,835685285446955009,0,7860
145,728409960103686147,4726,1912
146,823333489516937216,690,22
147,676916996760600576,2827,1717
148,743895849529389061,3545,933
149,835172783151792128,25533,5577
